"year","Parent.Organization","State.Name","Enrolled.x","Enrolled.y","percent"
2015,"Anthem Inc.","south dakota",0,0,0
2015,"Anthem Inc.","tennessee",421019,6762,1
2015,"Anthem Inc.","texas",1149635,44441,3
2015,"Anthem Inc.","utah",0,0,0
2015,"Anthem Inc.","vermont",0,0,0
2015,"Anthem Inc.","virginia",238813,17204,7
2015,"Anthem Inc.","washington",353791,1123,0
2015,"Anthem Inc.","west virginia",0,0,0
2015,"Anthem Inc.","wisconsin",395764,3402,0
2015,"Anthem Inc.","wyoming",0,0,0
